scope,path,name,size,mtime,sha1,url_count,post_key_count,read_status,read_note
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\copy_only_training_size_sweep_20260501.xlsx,copy_only_training_size_sweep_20260501.xlsx,1117604,2026-05-01 18:34:33,cb13109e449b8404bcb74c1ecaf21cc0ab0d4f60,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\copy_only_training_size_sweep_best_pairs_20260501.xlsx,copy_only_training_size_sweep_best_pairs_20260501.xlsx,8959,2026-05-01 18:34:33,60aca61dcd5d8142e1bc0675fac08ed83ce121c4,77,77,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\embedding_linear_fast_sweep_20260501.xlsx,embedding_linear_fast_sweep_20260501.xlsx,102221,2026-05-01 02:10:24,75c3d86d011d091f77858c2b1d74b63a4892718e,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\global_excel_confidence_gate_validation_fast_pairs_20260501.xlsx,global_excel_confidence_gate_validation_fast_pairs_20260501.xlsx,952285,2026-05-01 17:09:43,7943f4a609848ed0787588770866309aecc4db87,1018,1018,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\global_excel_confidence_gate_validation_pairs_20260501.xlsx,global_excel_confidence_gate_validation_pairs_20260501.xlsx,0,2026-05-01 16:05:56,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,0,error,BadZipFile('File is not a zip file')
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\global_same_media_fingerprint_probe_20260501.xlsx,global_same_media_fingerprint_probe_20260501.xlsx,159196,2026-05-01 17:32:23,2c5a5c8a4bf4d506eed6a89064c72244e7fc5697,517,517,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\global_same_media_fingerprint_probe_scored_pairs_20260501.xlsx,global_same_media_fingerprint_probe_scored_pairs_20260501.xlsx,10313,2026-05-01 17:33:15,ab3198c3e897420696e00c5f73f69b8d13a1087f,26,26,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\global_same_media_fingerprint_probe_v2_20260501.xlsx,global_same_media_fingerprint_probe_v2_20260501.xlsx,306947,2026-05-01 18:04:47,6ab063aaecdc3f7f8e205c231c84c1ce2452c625,519,519,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\hook_prefix_confidence_probe_20260507.xlsx,hook_prefix_confidence_probe_20260507.xlsx,5519,2026-05-07 10:34:23,30541dd0f14b2b172e1da40122681998e574b507,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\length_augmented_confidence_gate_20260507.xlsx,length_augmented_confidence_gate_20260507.xlsx,5499,2026-05-07 08:16:43,eb587abe84bae12253a16aeaf771beaf0a354d3d,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\length_guard_fusion_confidence_gate_20260507.xlsx,length_guard_fusion_confidence_gate_20260507.xlsx,6028,2026-05-07 08:29:17,b5c210def4c3ca781b2b353fa7066f75c848f81c,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\length_guard_fusion_confidence_gate_20260507_fast.xlsx,length_guard_fusion_confidence_gate_20260507_fast.xlsx,6261,2026-05-07 08:31:40,dcd8663f05b66a1a2051b1052dae9de276147693,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\length_ood_policy_search_20260507.xlsx,length_ood_policy_search_20260507.xlsx,6622,2026-05-07 08:46:29,58408f763bb4a5d934ca988d7d2b386d9432e9b2,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\pairwise_gap_sweep_20260501.xlsx,pairwise_gap_sweep_20260501.xlsx,25861,2026-05-01 01:27:18,51daa2c01479156d6435668c96fb09443d1edfb4,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\prefix_same_confidence_gate_probe_20260507.xlsx,prefix_same_confidence_gate_probe_20260507.xlsx,2030732,2026-05-07 11:15:22,c081c91a4146075b2dab18851e8e0b1802f99d32,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\prefix_same_confidence_gate_probe_20260507_full_text_best_pairs.xlsx,prefix_same_confidence_gate_probe_20260507_full_text_best_pairs.xlsx,8122,2026-05-07 11:14:54,bccc3e319b211a4f6fd60a69b99b1c3565745ca0,54,54,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\prefix_same_confidence_gate_probe_20260507_prefix_15_best_pairs.xlsx,prefix_same_confidence_gate_probe_20260507_prefix_15_best_pairs.xlsx,8125,2026-05-07 11:05:29,d94b48a1c007f22aef5743455c707734bad427b6,56,56,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\prefix_same_confidence_gate_probe_20260507_prefix_30_best_pairs.xlsx,prefix_same_confidence_gate_probe_20260507_prefix_30_best_pairs.xlsx,8118,2026-05-07 11:07:42,8a41a2ad3a420551c1b93806c6a5fb96ee7e7a64,56,56,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\prefix_same_confidence_gate_probe_20260507_prefix_45_best_pairs.xlsx,prefix_same_confidence_gate_probe_20260507_prefix_45_best_pairs.xlsx,8131,2026-05-07 11:09:56,b0da1158007c21751be8255e300732b80a64efde,56,56,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\prefix_same_confidence_gate_probe_20260507_prefix_60_best_pairs.xlsx,prefix_same_confidence_gate_probe_20260507_prefix_60_best_pairs.xlsx,8121,2026-05-07 11:12:30,68521590842dec83d5ee3d84df812e36db661c9e,56,56,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\quality_filter_benchmark_sweep_20260501.xlsx,quality_filter_benchmark_sweep_20260501.xlsx,7254,2026-05-01 02:11:48,87804b0bd98ae1475e0918c2db0389e9eb6875c3,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\raw_mss_account_feature_best_pairs_20260501.xlsx,raw_mss_account_feature_best_pairs_20260501.xlsx,6932,2026-05-01 14:34:28,2ded2fb6df005be43f57797a07349b39e9ab4935,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\raw_mss_account_feature_sweep_20260501.xlsx,raw_mss_account_feature_sweep_20260501.xlsx,18445,2026-05-01 14:34:28,e9da68287e6e569f88e70f7da4e74a29cebfa822,0,0,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\raw_mss_best_benchmark_pairs_20260501.xlsx,raw_mss_best_benchmark_pairs_20260501.xlsx,12495,2026-05-01 14:25:22,aba0366cffc55265bbfc156e56272264b75dcadb,79,79,ok,
madoyo,C:\Users\ding9\Desktop\madoyo\연구소\ml연구소\20260501_uploaded_pairwise_ranker\raw_mss_component_sweep_20260501.xlsx,raw_mss_component_sweep_20260501.xlsx,70706,2026-05-01 14:13:11,775b144445b52cac507aae47b80d82207ab08bff,0,0,ok,
